Time,Temp,Wind speed,Humidity,Air pressure,Pmax,Imax,Umax,FF_raw
5,28,15,21,1001,0.17,0.081,2.778,0.764
5.166666667,28.16666667,14.66666667,20.83333333,1001.166667,0.34,0.149,2.908,0.775
5.333333333,28.33333333,14.33333333,20.66666667,1001.333333,0.51,0.22,2.964,0.782
5.5,28.5,14,20.5,1001.5,0.69,0.294,3.037,0.778
5.666666667,28.66666667,13.66666667,20.33333333,1001.666667,0.89,0.364,3.077,0.79
5.833333333,28.83333333,13.33333333,20.16666667,1001.833333,1.21,0.489,3.124,0.791
6,29,13,20,1002,1.63,0.66,3.162,0.783
6.166666667,29.5,13.66666667,19.16666667,1002,2.19,0.872,3.203,0.783
6.333333333,30,14.33333333,18.33333333,1002,2.84,1.126,3.24,0.778
6.5,30.5,15,17.5,1002,3.58,1.415,3.268,0.774
6.666666667,31,15.66666667,16.66666667,1002,4.34,1.722,3.268,0.772
6.833333333,31.5,16.33333333,15.83333333,1002,5.17,2.05,3.294,0.766
7,32,17,15,1002,5.97,2.377,3.289,0.763
7.166666667,32.5,17.33333333,14.33333333,1002,6.78,2.732,3.28,0.756
7.333333333,33,17.66666667,13.66666667,1002,7.61,3.078,3.289,0.752
7.5,33.5,18,13,1002,8.4,3.43,3.291,0.745
7.666666667,34,18.33333333,12.33333333,1002,9.18,3.765,3.289,0.741
7.833333333,34.5,18.66666667,11.66666667,1002,9.95,4.102,3.289,0.737
8,35,19,11,1002,10.61,4.43,3.28,0.73
8.166666667,35.5,19,10.5,1002,11.21,4.743,3.264,0.724
8.333333333,36,19,10,1002,11.8,5.063,3.25,0.717
8.5,36.5,19,9.5,1002,12.34,5.346,3.244,0.712
8.666666667,37,19,9,1002,12.87,5.625,3.238,0.707
8.833333333,37.5,19,8.5,1002,13.41,5.912,3.219,0.705
9,38,19,8,1002,13.92,6.167,3.223,0.7
9.166666667,38.66666667,19,7.833333333,1002,14.27,6.361,3.217,0.697
9.333333333,39.33333333,19,7.666666667,1002,14.73,6.614,3.215,0.693
9.5,40,19,7.5,1002,15.28,6.897,3.213,0.69
9.666666667,40.66666667,19,7.333333333,1002,15.39,7.03,3.197,0.685
9.833333333,41.33333333,19,7.166666667,1002,15.65,7.153,3.189,0.686
10,42,19,7,1002,15.98,7.344,3.197,0.68
10.16666667,42.16666667,20.16666667,7.166666667,1002,16.3,7.535,3.197,0.676
10.33333333,42.33333333,21.33333333,7.333333333,1002,16.36,7.584,3.185,0.677
10.5,42.5,22.5,7.5,1002,16.83,7.812,3.197,0.674
10.66666667,42.66666667,23.66666667,7.666666667,1002,17.17,7.962,3.207,0.672
10.83333333,42.83333333,24.83333333,7.833333333,1002,17.33,8.043,3.207,0.672
11,43,26,8,1002,17.27,8.131,3.179,0.668
11.16666667,43,26,8,1002,17.46,8.272,3.168,0.666
11.33333333,43,26,8,1002,17.49,8.256,3.19,0.664
11.5,43,26,8,1002,17.61,8.317,3.191,0.663
11.66666667,43,26,8,1002,17.64,8.276,3.201,0.666
11.83333333,43,26,8,1002,17.34,8.227,3.185,0.662
12,43,26,8,1002,17.47,8.226,3.185,0.667
12.16666667,43,25.66666667,7.833333333,1001.833333,17.68,8.33,3.195,0.664
12.33333333,43,25.33333333,7.666666667,1001.666667,17.38,8.219,3.179,0.665
12.5,43,25,7.5,1001.5,17.33,8.204,3.179,0.665
12.66666667,43,24.66666667,7.333333333,1001.333333,16.4,7.722,3.171,0.67
12.83333333,43,24.33333333,7.166666667,1001.166667,16.95,7.973,3.187,0.667
13,43,24,7,1001,16.82,7.82,3.201,0.672
13.16666667,43,23.16666667,7,1001,16.3,7.485,3.205,0.68
13.33333333,43,22.33333333,7,1001,16.36,7.467,3.217,0.681
13.5,43,21.5,7,1001,16.03,7.25,3.225,0.686
13.66666667,43,20.66666667,7,1001,15.73,7.096,3.221,0.688
13.83333333,43,19.83333333,7,1001,15.25,6.873,3.219,0.689
14,43,19,7,1001,14.92,6.661,3.225,0.694
14.16666667,43,23.83333333,7,1001,14.38,6.412,3.219,0.697
14.33333333,43,28.66666667,7,1001,13.88,6.102,3.24,0.702
14.5,43,33.5,7,1001,13.37,5.917,3.219,0.702
14.66666667,43,38.33333333,7,1001,12.84,5.636,3.217,0.708
14.83333333,43,43.16666667,7,1001,12.09,5.269,3.209,0.715
15,43,48,7,1001,11.56,4.976,3.221,0.721
15.16666667,42.83333333,44.66666667,7.333333333,1000.833333,10.86,4.664,3.221,0.723
15.33333333,42.66666667,41.33333333,7.666666667,1000.666667,10.27,4.376,3.221,0.728
15.5,42.5,38,8,1000.5,9.26,3.902,3.236,0.734
15.66666667,42.33333333,34.66666667,8.333333333,1000.333333,8.27,3.437,3.238,0.743
15.83333333,42.16666667,31.33333333,8.666666667,1000.166667,5.8,2.363,3.213,0.764
16,42,28,9,1000,3.44,1.459,3.136,0.752
16.16666667,41.66666667,27.66666667,9.166666667,1000,6.14,2.512,3.234,0.756
16.33333333,41.33333333,27.33333333,9.333333333,1000,3.92,1.623,3.152,0.766
16.5,41,27,9.5,1000,4.25,1.742,3.183,0.766
16.66666667,40.66666667,26.66666667,9.666666667,1000,3.84,1.569,3.189,0.768
16.83333333,40.33333333,26.33333333,9.833333333,1000,3.03,1.251,3.142,0.77
17,40,26,10,1000,2.45,1.013,3.126,0.772
17.16666667,39.83333333,25.33333333,10,1000,1.74,0.736,3.073,0.771
17.33333333,39.66666667,24.66666667,10,1000,1.48,0.63,3.057,0.767
17.5,39.5,24,10,1000,1.18,0.508,3.026,0.769
17.66666667,39.33333333,23.33333333,10,1000,0.95,0.41,3,0.773
17.83333333,39.16666667,22.66666667,10,1000,0.74,0.325,2.966,0.769
18,39,22,10,1000,0.52,0.232,2.908,0.769
